title,performer
00:30 Cabaret O'Clock: Magic vs Burlesque,Arron Jones & Fou Fou Kaboom / PBH's Free Fringe
1 Astonishment 2 Many: Chris Dugdale,Chris Dugdale Int Ents
1 Dazzling Cabaret,Cabaret in the City
#1 Greatest Hit Rock'n'Roll Magic Show,Arron Jones / PBH's Free Fringe
1 Hour of Insane Magic,Insane Productions Ltd
1 Hour of Insanity,Insane Productions Ltd
1 Hour Straitjacket Escape Magic Show,Arron Jones / PBH's Free Fringe
1 Moment in Time,Sean Alexander
3..2..1! Celebration of Short Narrative Works,SaltShake Productions
8 Ways to Break a Glass (with an American Opera Singer),Steph DePrez
11 O'Clock Comedy Cabaret: Spin the Bottle!,Briony Price / Free Festival
18+ Magic – The Magic Show Your Mum Shouldn't See,Illusionary Productions
90s Magic Throwback with Chris Fleming,Chris Fleming
"1954: Ella, Etta, Eartha",Melissa Western
A-List Burlesque and Cabaret,City Burlesque and Cabaret
ABBA – The Singalonga Cabaret,Antony (Dr H) Hubmayer / PBH's Free Fringe
Aboot Time: Moulin-Esque the Scottish Moulin Rouge,STAM Productions
Absolute Burlesque and Cabaret,Sassy School of Burlesque and Cabaret
Absolutely Magic 2026!,Tim Licata Magic / PBH's Free Fringe
After-Hours Burlesque Club 2026,International Fringe Burlesque Festival
Afternoon Comedy and Magic Selection,RGB Monster
Alice Cooper – Welcome To My Cabaret Nightmare,Antony (Dr H) Hubmayer / PBH's Free Fringe
All Religions Explained – The Cabaret Musical,Antony (Dr H) Hubmayer / PBH's Free Fringe
All-Stars Burlesque 2026,International Fringe Burlesque Festival
And Another Unwasted Evening – The Genius of Tom Lehrer,Antony (Dr H) Hubmayer
Andrew Frost: Just Let Me Have This,Plosive Live
Angela Bra's Absolutely Dabulous Drag Bingo,Angela Bra
Assembly Gala Launch,Assembly Festival
At the Drop of a Hat!,Towns & Chatters
Ava Beaux: The Witching Hour,Ava Beaux / PBH’s Free Fringe
Bad Clowns and Good Friends,Bad Clowns Comedy
Banjos and Juggling: A World Vaudeville Adventure,Brian Tomaszewski
Barbara Fernandez Presents: Everything But Stand-Up,Barbara Fernandez and friends
"Barbara Fernandez: Singing, Sagging and Shagging",Barbara Fernandez
Ben Hart: The Labyrinth,Lee Martin for Gag Reflex with
Bernie Dieter's Club Kabarett,Underbelly and VELVICK
The Best Comedy Magic Show You’ll See in the Next 45 Minutes (Probably) at the Free Fringe 2026,Colin Tie / PBH's Free Fringe
Best of Burlesque: New School,International Fringe Burlesque Festival
Best of Cabaret 2026,International Fringe Burlesque Festival
Best of the Fest Daytime,Assembly Festival
Big Gay Afterparty,RGB Monster
Big Naked Variety Show,Paul Savage
The Billy and Elton Singalonga Cabaret,Antony (Dr H) Hubmayer / PBH's Free Fringe
Broken Planet Show,Behave Yourself (formally Broken Ventures LLC)
Burlesque!,Blond Ambition Productions and The Voodoo Rooms Present
CABAPOCALYPSARET,The Creative Martyrs / PBH's Free Fringe
Cabaret of Filth,Kirsty Munro-Graham
Camelton,Cahoots Entertainment in Association with Cahoots Theatre Company
A Case for Magic: For Lovers of Magic and Their Ambivalent Friends,Robert Malissa Magician
Caspar Thomas: The Art of Close-Up Magic (Volume 2),Caspar Thomas Magic
Charlie Caper – Magical,Charlie Caper / PBH’s Free Fringe
The Cheesecake Burlesque Revue,The Cheesecake Burlesque Revue
Clumsy Cabaret: The Dice Decides,Clumsy Cabaret
Colin Cloud: Hoax,Lee Martin for Gag Reflex with Royal Caribbean Entertainment presents
Confirmation Sponsor Variety Hour,Emma Quinlan Baxter and Fenton Lio
The Conjuring Coach,Neal Hyams
Cowboys Comedy!,RGB Monster in association with Pigeon Talk Comedy
Cray Cray Cabaret,Phil Nichol and David Tims
Critique Cabaret,Mandy Harris Williams with Family Affairs Studio (USA)
The Cult of Astaroth,Ash Pryce / PBH's Free Fringe
The Daily Strum,Dan Collins / PBH’s Free Fringe
Dan Bastianelli: The Boy Who Drew Doors,Dan Bastianelli Magician
Dave Reubens – Magic Survival Guide,Dave Reubens / PBH's Free Fringe
David Alnwick: Objectively the Best Magician,David Alnwick / PBH's Free Fringe
David Alnwick: The Haunted Magician,David Alnwick / PBH's Free Fringe
A Different Kind of Heartbreak,Athanasia Kontou
Diva Las Vegas,The Sundaes
DIVAS: From Stage To Screen,BBD Productions
Do You Wanna Go?,David Nehls
Doom and Glitter: A Tribute To Tom Waits,Mr Brake Down / PBH’s Free Fringe
Dr Mew's Sci-Fi Cabaret,SJ Wyatt / Free Festival
The Duo: A Three-Person Magic Show,"Jacob Greenwald, Dan Winter and Charlie Phillips"
EIGHT: The One (Wo)Man Drag King Musical Parody,Hannah Clift
The Electric Cabaret,C presents
Elliot Bibby: Abracadada,Insane Productions Ltd
Eurovision Cabaret – Greatest Hits Semi-Final 1,Antony (Dr H) Hubmayer / PBH's Free Fringe
An Evening with Dame Granny Smith,David Salter
Fempaths: Transistor Radio Hour,Fempath
FLOP! The Best Songs From The Worst Musicals,Arthur Hull presented by Seabright Live
Fungasm: Save or Smash,Fungasm Gameshow
Game Night Live!,Alex Kouvatas / PBH's Free Fringe
Ghost Songs to Die For with Madame Isolde,Most Curious Productions
The Gin Show,Edinburgh Little Theatre
Goose's Big Game Show,Goose's Quizzes
Guys Sing Dolls,BBD Productions
HALF-TIME,Eilir Pierce
"The History of Jazz Piano, and Irrelevant Topics","Bill Cunliffe Music (California, USA)"
"Hot Flush – A Bold, We’re Old(ish) Burlesque Show",High GINxxx presents
Human Jukebox,KAJOLE
The Hypnotist and Mind Reader Live: Comedy Hypnosis and Mind Reading Show,Daniel Sinclair / PBH's Free Fringe
I'm Not Myself Today: A Villainous Cabaret,Simon Shaw
The Improv Magic Show,Cavan Booth
An Insomniac's Dreams,Madeleine Lemay
An Introvert's Guide to Magic,George Hunt / PBH’s Free Fringe
Kane Abel Magicians: Twin Feats,Kane & Abel / PBH's Free Fringe
Kevin Quantum: Invisible Force,KQ Productions
James Phelan: Showman,Showman Live
Jamie Leonard: Blink of an Eye,Jamie Leonard Magic / PBH’s Free Fringe
Jess Robinson: Elton Reimagined,"Jess Robinson, Topper & Fred with Sophie Chapman Management"
Judy Garland Is Fat at Carnegie Hall,Undiscovered Countries
Kirsty's All-Star Big Birthday Singalong Party,Kirsty Newton
The Lady Boys of Bangkok – Full Moon Tour,Exchange Events Ltd
The Language of Dreams: A Crash Course,"REM Doula, LLC"
Liberace and Liza – A Tribute,David Saffert and Jillian Snow
Live at the Manor: Diary of a 7ft Canadian Man in a Dress,Joan-E
"Love, Katiuska",Kat Lozano
Magic Faraway Cabaret with Mister Meredith,Mister Meredith / PBH's Free Fringe
Magic Ink,Lorenzo
Magical Maestro,Oliver Tabor
The Man With the Golden Hands – Stuart Lightbody,Stuart Lightbody / PBH's Free Fringe
Meat Loaf – Just the Best Bits,Antony (Dr H) Hubmayer / PBH's Free Fringe
Manic,Senora Directora
Mason King – The Mind Spy,Elite Entertainment
Max Davidson: Strangers,Max Davidson
Midday Cabaret,RGB Monster
Millicent Sarre is Too Tired to Smash (Patriarchy),Millicent Sarre
Mindreading and Other Freaking Wonders,Christian Lavey
Monty Python's Previous Cabaret Singalong Circus,Antony (Dr H) Hubmayer
My History of Country,Edinburgh Little Theatre
Oil Whiskey,AK INK LLC / PBH's Free Fringe
The Professional Showoff,Andy Boyd / PBH's Free Fringe
"Pure Heaven: Drag, Jazz and Desperation",Kaja Orania
Queen – A Night at the Cabaret Opera,Antony (Dr H) Hubmayer
Rainbows!,Tim Clarkson
Rebel Rebel,Blond Ambition Productions and The Voodoo Rooms Present
Robot Vacuum Fight Club,International Ghost Society
The Rocky Horror Singalonga Cabaret Show,Antony (Dr H) Hubmayer / PBH's Free Fringe
Sarah Hester Ross: Serving C*nt,Sarah Hester Ross
The Secret Room at Lauriston Castle,Edinburgh International Magic Festival
Self Censored,Oscar Brennan
